,Unnamed: 0.1,Unnamed: 0,id,source,sentence_1,sentence_2,label,binary-label
0,0,0,boostcamp-sts-v1-train-000,nsmc-sampled-s1-rtted,"스릴과 반전이 있고, 여타 쓰레기 같은 한국영화와는 차원이 다르다.","반전도 있고,사랑도 있고재미도있네요.",2.1,0.0
1,2,2,boostcamp-sts-v1-train-002,petition-sampled-s1-rtted,입주신청 조건을 변경해 주세요.,주택청약 무주택기준 변경해주세요.,2.4,0.0
2,4,4,boostcamp-sts-v1-train-004,slack-sampled-s1-rtted,정말 자랑스럽습니다!!,꼬옥 실제로 한번 뵈어요 뿌뿌뿌~!~!,0.0,0.0
3,7,7,boostcamp-sts-v1-train-007,nsmc-sampled-s1-rtted,이렇게 귀여운 쥐는 처음 봅니다.,이렇게 지겨운 공포영화는 처음..,0.6,0.0
4,8,8,boostcamp-sts-v1-train-008,petition-sampled-s1-rtted,미세먼지 해결이 가장 시급한 문제!,가장 시급한 것이 신생아실 관리입니다!!!,0.4,0.0
5,13,13,boostcamp-sts-v1-train-013,nsmc-sampled-s1-rtted,뭐.. 특별하지도 않고 별로였던 기억이..,큰 반전 없던걸로 기억하는데...,1.8,0.0
6,14,14,boostcamp-sts-v1-train-014,slack-sampled-s1-rtted,아래는 게임 내에서 함께 팀을 이루는 모습을 캡처한 이미지입니다.,여러분들간의 다양한 아이디어를 제안하고 나누는 채널입니다.,0.0,0.0
7,15,15,boostcamp-sts-v1-train-015,petition-sampled-s1-rtted,LG전자 스마트폰 생산중단 청원,LG전자서비스의 노조 와해를 조사해주세요.,0.4,0.0
8,19,19,boostcamp-sts-v1-train-019,petition-sampled-s1-rtted,내년 러시아 월드컵을 자진 포기해 주실 것을 부탁드립니다.,2023 아시안컵 유치에 공동개최를 반대 합니다.,0.0,0.0
9,20,20,boostcamp-sts-v1-train-020,slack-sampled-s1-rtted,새로운 머리를 하셨습니다. ^^,가방에 넣어 다니면서 조금씩 먹습니다. ^^,0.0,0.0
10,22,22,boostcamp-sts-v1-train-022,slack-sampled-s1-rtted,답답할 땐 속이 뻥 뚫릴 것 같아,양보단 한입 먹는 순간 고삐 풀릴 것 같아요 ㅋㅋㅋ,0.0,0.0
11,23,23,boostcamp-sts-v1-train-023,nsmc-sampled-s1-rtted,짧지만 곡과 잘 어울리는 영상 덕분인지 강렬한 인상을 남긴다.,조금유치하지만 가볍게 볼수는 있는영화네요!,0.0,0.0
